"Id";"Description"
1;"Chief Acdemic Officer"
2;"Chief Accessibility Officer"
3;"Chief Accounting Officer"
4;"Chief Administrative Officer"
5;"Chief AI Officer"
6;"Chief Analytics Officer"
7;"Chief Architect"
8;"Chief Audit Executive"
9;"Chief Brand officer"
10;"Chief Business Development Officer"
11;"Chief Business officer"
12;"Chief Commercial officer"
13;"Chief Communications Officer"
14;"Chief Compliance Officer"
15;"Chief Content Officer"
16;"Chief Creative Officer"
17;"Chief Customer Officer"
18;"Chief Data Officer"
19;"Chief Design Officer"
20;"Chief Development Officer"
21;"Chief Digital Officer"
22;"Chief Diversity Officer"
23;"Chief Engineering Officer"
24;"Chief Executive Officer"
25;"Chief Experience Officer"
26;"Chief Financial Officer"
27;"Chief Gamming Officer"
28;"Chief Human Resources Officer"
29;"Chief Information Officer"
30;"Chief Information Security Officer"
31;"Chief Information Technology Officer"
32;"Chief Innovation Officer"
33;"Chief Investment Officer"
34;"Chief Knowledge Officer"
35;"Chief Learning Officer"
36;"Chief Legal Officer"
37;"Chief Marketing Officer"
38;"Chief Medical Officer"
39;"Chief Networking Officer"
40;"Chief Nursing Officer"
41;"Chief Of Staff"
42;"Chief Operating Officer"
43;"Chief Privacy Officer"
44;"Chief Process Officer"
45;"Chief Procurement Officer"
46;"Chief Product Officer"
47;"Chief Quality Officer"
48;"Chief Research And Development Officer"
49;"Chief Research Officer"
50;"Chief Revenue Officer"
51;"Chief Risk Officer"
52;"Chief Sales Officer"
53;"Chief Science Officer"
54;"Chief Security Officer"
55;"Chief Solutions Officer"
56;"Chief Strategy Officer"
57;"Chief Sustainability officer"
58;"Chief System Engineer"
59;"Chief Tecnology Officer"
60;"Chief Value Officer"
61;"Chief Visionary Officer"
62;"Chief Web Officer"
63;"Commissioner"
64;"Company Secretary"
65;"Director"
66;"Executive Chairman"
67;"Financial Control Officer"
68;"Foreman"
69;"General Manager"
70;"Manager"
71;"Of Coursel"
72;"Owner"
73;"Partner"
74;"President"
75;"Superintendent"
76;"Supervisor"
77;"Treasurer"
78;"Vice Chairman"
79;"Vice President"
